Date,Clicks,Impressions,CTR,Position
2026-04-06,0,0,,
2026-04-07,0,0,,
2026-04-08,0,0,,
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,0,,
2026-04-13,0,4,0%,14.8
2026-04-14,0,7,0%,11.6
2026-04-15,0,10,0%,8.7
2026-04-16,0,5,0%,8.8
2026-04-17,0,1,0%,2
2026-04-18,0,4,0%,4
2026-04-19,0,3,0%,4.3
2026-04-20,1,4,25%,4.5
2026-04-21,0,4,0%,3
2026-04-22,0,5,0%,3
2026-04-23,0,4,0%,5
2026-04-24,0,4,0%,9
2026-04-25,0,1,0%,4
2026-04-26,1,1,100%,2
2026-04-27,0,3,0%,2.3
2026-04-28,0,0,,
2026-04-29,0,1,0%,1
2026-04-30,0,3,0%,6.7
2026-05-01,0,0,,
2026-05-02,0,2,0%,5
2026-05-03,0,1,0%,8
2026-05-04,0,2,0%,6.5
2026-05-05,1,5,20%,3
2026-05-06,2,5,40%,3
2026-05-07,1,10,10%,8.6
2026-05-08,0,1,0%,5
2026-05-09,0,1,0%,2
2026-05-10,0,2,0%,4
2026-05-11,2,5,40%,1.4
2026-05-12,0,3,0%,3.3
2026-05-13,0,1,0%,9
2026-05-14,0,3,0%,5.3
2026-05-15,0,6,0%,16.5
2026-05-16,0,7,0%,8.6
2026-05-17,0,11,0%,5.5
2026-05-18,0,10,0%,6.9
2026-05-19,1,4,25%,3.2
2026-05-20,1,9,11.11%,5.6
2026-05-21,0,6,0%,6.7
2026-05-22,1,13,7.69%,2.8
2026-05-23,0,8,0%,10.5
2026-05-24,0,7,0%,5.9
2026-05-25,0,6,0%,7.5
2026-05-26,0,7,0%,6.1
2026-05-27,1,4,25%,15
2026-05-28,3,8,37.5%,7.4
2026-05-29,0,10,0%,7.2
2026-05-30,1,7,14.29%,5.9
2026-05-31,2,8,25%,6.4
2026-06-01,1,5,20%,10.8
2026-06-02,2,6,33.33%,3.2
2026-06-03,1,7,14.29%,9.3
2026-06-04,0,6,0%,9
2026-06-05,0,8,0%,10.9
2026-06-06,0,2,0%,11
2026-06-07,0,5,0%,11
2026-06-08,0,6,0%,8.3
2026-06-09,1,11,9.09%,5.5
2026-06-10,0,5,0%,5.8
2026-06-11,0,6,0%,11.3
2026-06-12,1,3,33.33%,6.7
2026-06-13,0,1,0%,4
2026-06-14,0,6,0%,8.3
2026-06-15,2,7,28.57%,5.7
2026-06-16,2,6,33.33%,4.7
2026-06-17,2,8,25%,8.1
2026-06-18,1,8,12.5%,13.9
2026-06-19,0,7,0%,10.9
2026-06-20,0,1,0%,67
2026-06-21,0,2,0%,7.5
2026-06-22,0,16,0%,10.6
2026-06-23,0,5,0%,7.2
2026-06-24,0,10,0%,5.2
2026-06-25,0,11,0%,4.5
2026-06-26,1,8,12.5%,12.2
2026-06-27,0,12,0%,10
2026-06-28,0,4,0%,11
2026-06-29,0,13,0%,12.2
