Country,Clicks,Impressions,CTR,Position
India,6,36,16.67%,5.42
Spain,5,15,33.33%,2.8
Brazil,3,42,7.14%,5.69
Norway,3,5,60%,2
Taiwan,2,6,33.33%,3
Bangladesh,1,12,8.33%,5.5
Canada,1,12,8.33%,6.17
France,1,11,9.09%,6
Italy,1,9,11.11%,4.22
Mexico,1,9,11.11%,5.78
Pakistan,1,6,16.67%,4.33
Estonia,1,4,25%,1.25
Trinidad & Tobago,1,3,33.33%,4
Uruguay,1,3,33.33%,4.67
Colombia,1,3,33.33%,5
Russia,1,2,50%,2.5
Greece,1,2,50%,4.5
Ukraine,1,1,100%,9
United States,0,100,0%,13.23
United Kingdom,0,25,0%,10.84
Philippines,0,14,0%,6.07
Sri Lanka,0,10,0%,4.1
Australia,0,9,0%,4.67
Vietnam,0,8,0%,12.38
Portugal,0,6,0%,6.33
Germany,0,5,0%,5.2
Japan,0,4,0%,5.75
Myanmar (Burma),0,4,0%,12
Egypt,0,3,0%,3
Iran,0,3,0%,4.67
Poland,0,3,0%,5.67
Nigeria,0,3,0%,6.67
Thailand,0,3,0%,8.33
Finland,0,3,0%,9.67
Cameroon,0,3,0%,10.33
Sweden,0,2,0%,1.5
Madagascar,0,2,0%,2.5
Kuwait,0,2,0%,3.5
Morocco,0,2,0%,4.5
Guatemala,0,2,0%,5
Saudi Arabia,0,2,0%,5.5
Switzerland,0,2,0%,7
Netherlands,0,2,0%,7.5
Indonesia,0,2,0%,8
Chile,0,2,0%,10.5
Malaysia,0,2,0%,15.5
Venezuela,0,2,0%,22
United Arab Emirates,0,1,0%,1
Costa Rica,0,1,0%,1
Singapore,0,1,0%,1
Slovakia,0,1,0%,1
Bosnia & Herzegovina,0,1,0%,2
Angola,0,1,0%,3
China,0,1,0%,3
Tunisia,0,1,0%,3
Belarus,0,1,0%,4
Côte d’Ivoire,0,1,0%,4
Denmark,0,1,0%,4
Ireland,0,1,0%,4
Turkey,0,1,0%,4
Serbia,0,1,0%,5
Czechia,0,1,0%,7
Argentina,0,1,0%,8
Benin,0,1,0%,8
Romania,0,1,0%,8
Nepal,0,1,0%,11
Azerbaijan,0,1,0%,29
